query_id,model,architecture_type,parameters_b,task,energy_j,energy_kwh,duration_s,co2_grams,gpu_memory_mb
0,ViT-MAE (Generative),Generative,0.3,Image Classification (ImageNet),883.78,0.00024549,2.911,0.173809,4186.2
1,ViT-MAE (Generative),Generative,0.3,Image Classification (ImageNet),894.04,0.00024835,2.945,0.175828,4352.3
2,ViT-MAE (Generative),Generative,0.3,Image Classification (ImageNet),834.08,0.00023169,2.748,0.164035,4176.6
3,ViT-MAE (Generative),Generative,0.3,Image Classification (ImageNet),957.39,0.00026594,3.154,0.188286,4276.7
4,ViT-MAE (Generative),Generative,0.3,Image Classification (ImageNet),818.08,0.00022724,2.695,0.160888,4254.3
5,ViT-MAE (Generative),Generative,0.3,Object Detection (COCO),818.49,0.00022736,2.696,0.160969,4153.4
6,ViT-MAE (Generative),Generative,0.3,Object Detection (COCO),866.45,0.00024068,2.854,0.170403,4008.7
7,ViT-MAE (Generative),Generative,0.3,Object Detection (COCO),732.71,0.00020353,2.414,0.144099,4143.8
8,ViT-MAE (Generative),Generative,0.3,Object Detection (COCO),781.13,0.00021698,2.573,0.153622,4231.4
9,ViT-MAE (Generative),Generative,0.3,Object Detection (COCO),788.25,0.00021896,2.597,0.155023,4058.8
10,ViT-MAE (Generative),Generative,0.3,Semantic Segmentation,949.66,0.0002638,3.128,0.186767,4177.4
11,ViT-MAE (Generative),Generative,0.3,Semantic Segmentation,854.59,0.00023739,2.815,0.16807,4057.5
12,ViT-MAE (Generative),Generative,0.3,Semantic Segmentation,812.98,0.00022583,2.678,0.159886,4211.1
13,ViT-MAE (Generative),Generative,0.3,Semantic Segmentation,771.73,0.00021437,2.542,0.151774,4237.6
14,ViT-MAE (Generative),Generative,0.3,Semantic Segmentation,809.16,0.00022477,2.665,0.159134,4170.8
15,ViT-MAE (Generative),Generative,0.3,Image Feature Extraction,809.08,0.00022475,2.665,0.15912,4385.2
16,ViT-MAE (Generative),Generative,0.3,Image Feature Extraction,849.08,0.00023586,2.797,0.166986,4094.2
17,ViT-MAE (Generative),Generative,0.3,Image Feature Extraction,905.93,0.00025165,2.984,0.178167,4077.9
18,ViT-MAE (Generative),Generative,0.3,Image Feature Extraction,864.2,0.00024006,2.847,0.16996,4004.0
19,ViT-MAE (Generative),Generative,0.3,Image Feature Extraction,759.68,0.00021102,2.502,0.149404,4219.7
20,ViT-MAE (Generative),Generative,0.3,Scene Understanding,900.22,0.00025006,2.965,0.177042,4217.1
21,ViT-MAE (Generative),Generative,0.3,Scene Understanding,842.14,0.00023393,2.774,0.16562,4169.9
22,ViT-MAE (Generative),Generative,0.3,Scene Understanding,749.46,0.00020818,2.469,0.147394,4128.0
23,ViT-MAE (Generative),Generative,0.3,Scene Understanding,818.68,0.00022741,2.697,0.161006,4305.7
24,ViT-MAE (Generative),Generative,0.3,Scene Understanding,873.37,0.0002426,2.877,0.171762,4023.7
25,ViT-MAE (Generative),Generative,0.3,Action Recognition (Video),872.04,0.00024223,2.873,0.171501,4161.5
26,ViT-MAE (Generative),Generative,0.3,Action Recognition (Video),803.97,0.00022332,2.648,0.158114,4261.2
27,ViT-MAE (Generative),Generative,0.3,Action Recognition (Video),920.11,0.00025559,3.031,0.180955,4293.1
28,ViT-MAE (Generative),Generative,0.3,Action Recognition (Video),792.93,0.00022026,2.612,0.155944,4169.1
29,ViT-MAE (Generative),Generative,0.3,Action Recognition (Video),872.53,0.00024237,2.874,0.171597,4297.6
30,ViT-MAE (Generative),Generative,0.3,Depth Estimation,817.42,0.00022706,2.693,0.160759,4181.4
31,ViT-MAE (Generative),Generative,0.3,Depth Estimation,774.77,0.00021521,2.552,0.152371,4080.4
32,ViT-MAE (Generative),Generative,0.3,Depth Estimation,905.25,0.00025146,2.982,0.178033,4335.6
33,ViT-MAE (Generative),Generative,0.3,Depth Estimation,845.1,0.00023475,2.784,0.166204,4300.4
