parameters_b,architecture,energy_j,energy_kwh,co2_grams
0.1,Generative,4.0,1.11e-06,0.000786
0.1,JEPA (Predictive),22.4,6.22e-06,0.004406
0.1,Generative,4.76,1.32e-06,0.000936
0.1,JEPA (Predictive),23.94,6.65e-06,0.004709
0.1,Generative,4.54,1.26e-06,0.000893
0.1,JEPA (Predictive),25.31,7.03e-06,0.004978
0.1,Generative,4.25,1.18e-06,0.000835
0.1,JEPA (Predictive),23.49,6.53e-06,0.00462
0.1,Generative,4.81,1.34e-06,0.000946
0.1,JEPA (Predictive),25.06,6.96e-06,0.004928
0.1,Generative,5.09,1.41e-06,0.001002
0.1,JEPA (Predictive),21.15,5.87e-06,0.004159
0.1,Generative,4.03,1.12e-06,0.000792
0.1,JEPA (Predictive),26.87,7.47e-06,0.005285
0.1,Generative,4.91,1.36e-06,0.000966
0.1,JEPA (Predictive),22.05,6.12e-06,0.004336
0.1,Generative,5.49,1.53e-06,0.00108
0.1,JEPA (Predictive),24.11,6.7e-06,0.004741
0.1,Generative,5.32,1.48e-06,0.001045
0.1,JEPA (Predictive),23.99,6.66e-06,0.004718
0.3,Generative,41.43,1.151e-05,0.008148
0.3,JEPA (Predictive),93.8,2.605e-05,0.018447
0.3,Generative,33.5,9.3e-06,0.006588
0.3,JEPA (Predictive),87.54,2.432e-05,0.017217
0.3,Generative,36.57,1.016e-05,0.007192
0.3,JEPA (Predictive),90.71,2.52e-05,0.01784
0.3,Generative,31.04,8.62e-06,0.006104
0.3,JEPA (Predictive),85.27,2.368e-05,0.016769
0.3,Generative,37.99,1.055e-05,0.007471
0.3,JEPA (Predictive),65.76,1.827e-05,0.012932
0.3,Generative,30.29,8.41e-06,0.005956
0.3,JEPA (Predictive),63.52,1.764e-05,0.012492
0.3,Generative,33.43,9.28e-06,0.006574
0.3,JEPA (Predictive),85.52,2.375e-05,0.016818
0.3,Generative,39.51,1.098e-05,0.007771
0.3,JEPA (Predictive),80.38,2.233e-05,0.015809
0.3,Generative,39.95,1.11e-05,0.007856
