query_id,model,parameters_b,precision,prompt,tokens_generated,energy_kwh,duration_s,co2_grams,quality_score,energy_per_token,gpu_memory_mb
0,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0013721023042698045,68.93003541223415,0.46929138022624844,97.73,3.3498591412837024e-07,14038.186623567268
1,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.0013375408888090705,67.1937803354867,0.45747056022349203,96.13,3.26548068556902e-07,14001.1344474561
2,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.0013365525221567056,67.14412795305444,0.4571325154953296,90.39,3.2630676810466446e-07,14041.936637701312
3,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.0013245969704792691,66.54351923901467,0.4530434345786875,96.92,3.233879322459153e-07,14045.549593203075
4,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013546724869506158,68.05441708457612,0.46332997122536024,96.23,3.307305876344277e-07,14033.567332278948
5,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0014087023692706574,70.7687057276677,0.4818094664995321,95.63,3.439214768727191e-07,14019.595896009194
6,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.0014343366734404272,72.0564912584489,0.4905770036923019,97.09,3.501798519141668e-07,14040.045610013873
7,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.0012505975426102608,62.8260244373349,0.42773388329192635,93.52,3.053216656763332e-07,14007.090263039265
8,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.0013936076893274428,70.01039724018517,0.4766467296084265,94.89,3.402362522772077e-07,14016.130968139683
9,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.001407076491731853,70.68702683537447,0.48125337799804796,95.8,3.4352453411422195e-07,14015.443794783156
10,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.0014037887964661532,70.52186353057999,0.48012890860228763,99.92,3.4272187413724444e-07,14023.31760728777
11,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.0014255672992883907,71.6159459223162,0.4875776707076382,96.52,3.4803889142782976e-07,14026.504500111696
12,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.001292461728995376,64.92914739037597,0.442052423352374,94.35,3.155424143055117e-07,14024.227310391692
13,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.0014871607465104947,74.71020389781067,0.5086440837366115,99.08,3.6307635412853873e-07,14028.02998700361
14,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.0014911180930300139,74.90900834182341,0.5099975896700973,93.9,3.6404250318115573e-07,14021.018061933097
15,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.001328405781960876,66.73486175734489,0.45434613802263807,96.52,3.24317817861542e-07,14027.738991248405
16,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.0013176651663243794,66.19528754784969,0.45067259391383085,94.06,3.2169559724716293e-07,14033.688334607374
17,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.0013295542425690947,66.79255674856218,0.454738938663151,96.81,3.245982037522204e-07,14021.0224058733
18,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.0014223389562778358,71.45376428516865,0.48647350118430704,96.5,3.472507217475185e-07,14023.159963718377
19,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0013142911456218735,66.02578752895052,0.4495185991807388,97.26,3.208718617240902e-07,14027.763995334471
20,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0013813103698219794,69.09553246478539,0.47235373054780044,98.0,3.372339770073192e-07,14028.214544656923
21,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.001446436828438788,72.35327050395912,0.4946244137751921,94.1,3.531339913180635e-07,14036.351908442008
22,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.0012398433376741402,62.01910697344009,0.42397757856599105,95.18,3.0269612736185063e-07,14053.902479297489
23,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.0015149037288746004,75.77810321728741,0.5180373965098897,98.06,3.698495431822755e-07,14027.771768559378
24,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013835212063853207,69.20612233138893,0.4731097495578223,96.0,3.377737320276662e-07,14032.427895575489
25,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0014071271212239601,70.38693099736916,0.48118204249113466,92.41,3.435368948300684e-07,14027.495805653349
26,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.0014116270079472966,70.61202310988276,0.48272082648005415,91.05,3.4463549998713296e-07,14043.802104952068
27,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.001479097447662541,73.98701113546228,0.5057930589033172,95.25,3.611077753082375e-07,14042.223120647826
28,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.0012818757838165878,64.12164258778151,0.43835101930255294,96.78,3.1295795503334664e-07,14016.785750333353
29,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.0013208913522350296,66.07326876332085,0.4516928067056759,98.8,3.2248324029175527e-07,14031.658803158902
